transaction_id,transaction_date,store_id,product_id,customer_id,quantity,unit_price,discount_amt,payment_type,sales_channel,line_total
TX100000,2020-04-01 00:00:00,3185,1479,29338,5,111.58,0,Card,Online,557.9
TX100001,2022-06-24 00:00:00,3005,1178,29585,4,1493.02,0,Card,In-store,5972.08
TX100002,2025-03-15 00:00:00,3027,1893,23362,2,785.49,0,Card,In-store,1570.98
TX100003,2025-10-25 00:00:00,3011,1487,20917,4,1027.92,0,Card,Online,4111.68
TX100004,2020-07-05 00:00:00,3035,1268,26942,4,751.1,0,Card,In-store,3004.4
TX100005,2024-08-29 00:00:00,3108,1727,26198,3,1329.89,0,Card,Online,3989.67
TX100006,2021-07-20 00:00:00,3053,1794,21512,4,1376.11,0,Online,In-store,5504.44
TX100007,2022-04-11 00:00:00,3195,1351,28008,2,836.66,50,Online,In-store,1623.32
TX100008,2023-04-14 00:00:00,3031,1731,29747,1,1164.08,0,Card,In-store,1164.08
TX100009,2025-12-19 00:00:00,3107,1979,24638,3,750.48,0,Online,In-store,2251.44
TX100010,2021-04-02 00:00:00,3143,1113,24185,3,669.05,0,Card,In-store,2007.1499999999999
TX100011,2020-10-12 00:00:00,3006,1461,27158,2,530.7,20,Cash,In-store,1041.4
TX100012,2023-07-27 00:00:00,3091,1350,22179,5,367.43,0,Card,In-store,1837.15
TX100013,2025-02-12 00:00:00,3131,1577,27856,4,930.49,0,Cash,In-store,3721.96
TX100014,2023-11-21 00:00:00,3151,1515,20531,4,756.29,0,Card,In-store,3025.16
TX100015,2022-01-31 00:00:00,3090,1136,24969,5,211.86,20,Card,In-store,1039.3000000000002
TX100016,2025-11-10 00:00:00,3027,1891,27121,2,704.22,0,Cash,Online,1408.44
TX100017,2025-12-20 00:00:00,3122,1766,24222,2,673.08,0,Cash,In-store,1346.16
TX100018,2024-08-15 00:00:00,3134,1090,25865,4,814.7,0,Card,Online,3258.8
TX100019,2024-10-24 00:00:00,3161,1969,29912,2,337.47,0,Card,In-store,674.94
TX100020,2024-07-25 00:00:00,3078,1158,24505,2,880.57,0,Online,In-store,1761.14
TX100021,2021-07-18 00:00:00,3116,1811,20852,3,121.53,0,Card,In-store,364.59000000000003
TX100022,2020-11-25 00:00:00,3003,1398,26009,1,1293.73,0,Card,In-store,1293.73
TX100023,2023-04-29 00:00:00,3147,1017,23791,4,659.03,0,Cash,In-store,2636.12
TX100024,2025-09-21 00:00:00,3104,1373,20681,4,958.27,0,Card,Online,3833.08
TX100025,2025-04-08 00:00:00,3147,1711,29207,4,317.62,10,Cash,In-store,1260.48
TX100026,2020-08-22 00:00:00,3155,1936,20753,4,822.4,0,Cash,In-store,3289.6
TX100027,2020-05-04 00:00:00,3178,1706,20700,1,122.64,0,Cash,In-store,122.64
TX100028,2025-03-29 00:00:00,3165,1469,21326,4,704.51,0,Cash,In-store,2818.04
TX100029,2023-09-05 00:00:00,3186,1904,26414,2,676.58,0,Card,In-store,1353.16
TX100030,2021-10-28 00:00:00,3170,1486,24553,1,1244.27,0,Card,In-store,1244.27
TX100031,2023-05-15 00:00:00,3048,1248,28255,4,1498.21,0,Cash,Online,5992.84
TX100032,2021-04-30 00:00:00,3051,1134,22377,4,1430.08,0,Card,In-store,5720.32
TX100033,2025-09-05 00:00:00,3104,1914,28446,2,697.55,0,Card,In-store,1395.1
TX100034,2024-12-17 00:00:00,3105,1231,28496,3,733.42,0,Online,In-store,2200.2599999999998
TX100035,2025-10-09 00:00:00,3194,1322,28664,5,646.88,10,Online,In-store,3224.4
TX100036,2021-02-13 00:00:00,3173,1130,25511,3,1499.86,0,Cash,In-store,4499.58
TX100037,2025-01-22 00:00:00,3014,1444,21438,5,1368.29,0,Cash,Online,6841.45
TX100038,2023-05-12 00:00:00,3177,1636,27908,5,1275.66,0,Card,In-store,6378.3
TX100039,2021-12-13 00:00:00,3056,1387,20112,2,1355.87,0,Cash,Online,2711.74
TX100040,2022-11-16 00:00:00,3156,1221,23231,4,735.47,0,Card,In-store,2941.88
TX100041,2025-08-31 00:00:00,3058,1113,28614,1,235.64,0,Online,Online,235.64
TX100042,2024-02-23 00:00:00,3138,1263,22255,2,830.4,0,Card,Online,1660.8
TX100043,2022-02-27 00:00:00,3166,1687,23498,1,1267.06,0,Card,In-store,1267.06
TX100044,2025-12-30 00:00:00,3156,1030,29243,2,52.63,0,Cash,Online,105.26
TX100045,2022-01-27 00:00:00,3013,1547,24280,5,358.63,0,Online,In-store,1793.15
TX100046,2024-11-17 00:00:00,3145,1315,24206,5,206.81,0,Card,In-store,1034.05
TX100047,2024-09-14 00:00:00,3127,1465,24545,4,582.73,0,Card,In-store,2330.92
TX100048,2024-05-02 00:00:00,3197,1446,26430,2,980.82,0,Cash,In-store,1961.64
TX100049,2024-01-06 00:00:00,3175,1943,23101,1,783.49,50,Card,In-store,733.49
TX100050,2020-08-26 00:00:00,3197,1887,23002,3,541.44,0,Online,In-store,1624.3200000000002
TX100051,2025-12-19 00:00:00,3019,1977,21548,5,1395.11,0,Cash,Online,6975.549999999999
TX100052,2020-12-18 00:00:00,3107,1785,25260,4,911.94,50,Online,In-store,3597.76
TX100053,2023-07-30 00:00:00,3167,1821,25571,3,634.29,20,Card,Online,1882.87
TX100054,2021-06-29 00:00:00,3127,1929,27259,3,299.79,0,Card,In-store,899.3700000000001
TX100055,2021-01-04 00:00:00,3192,1831,29409,2,1457.12,0,Online,Online,2914.24
TX100056,2023-05-10 00:00:00,3095,1637,20233,2,83.53,0,Card,In-store,167.06
TX100057,2025-01-06 00:00:00,3153,1938,28249,4,1282.62,10,Cash,In-store,5120.48
TX100058,2022-04-05 00:00:00,3051,1176,20807,1,1066.65,0,Cash,In-store,1066.65
TX100059,2020-06-18 00:00:00,3193,1574,20509,3,1319.92,0,Card,In-store,3959.76
TX100060,2023-09-28 00:00:00,3114,1099,24265,1,1024.66,0,Card,In-store,1024.66
TX100061,2024-08-06 00:00:00,3166,1775,22882,5,907.08,10,Cash,In-store,4525.400000000001
TX100062,2021-10-10 00:00:00,3093,1115,24841,5,1111.21,0,Card,In-store,5556.05
TX100063,2024-02-22 00:00:00,3194,1743,28091,3,320.02,0,Online,Online,960.06
TX100064,2020-06-15 00:00:00,3105,1695,27192,2,600.11,10,Cash,In-store,1190.22
TX100065,2022-03-02 00:00:00,3106,1229,21735,4,1249.81,10,Card,In-store,4989.24
TX100066,2022-11-04 00:00:00,3145,1468,21466,3,345.1,0,Card,In-store,1035.3000000000002
TX100067,2024-09-09 00:00:00,3164,1166,20906,2,1143.16,0,Card,In-store,2286.32
TX100068,2022-01-10 00:00:00,3180,1858,27677,5,1479.09,0,Cash,In-store,7395.45
TX100069,2022-09-21 00:00:00,3014,1325,26192,1,658.41,0,Card,Online,658.41
TX100070,2023-10-08 00:00:00,3017,1510,28770,2,315.18,0,Card,In-store,630.36
TX100071,2023-09-29 00:00:00,3028,1757,25678,2,523.79,20,Online,Online,1027.58
TX100072,2023-02-08 00:00:00,3117,1039,27390,5,137.35,0,Card,Online,686.75
TX100073,2021-12-20 00:00:00,3134,1413,28548,3,332.88,50,Online,Online,948.64
TX100074,2024-01-07 00:00:00,3137,1512,26798,1,92.9,10,Cash,Online,82.9
TX100075,2025-01-08 00:00:00,3139,1846,26708,4,523.81,0,Card,In-store,2095.24
TX100076,2020-12-03 00:00:00,3072,1669,24769,1,55.43,0,Card,Online,55.43
TX100077,2022-01-15 00:00:00,3047,1109,28307,1,497.25,0,Card,In-store,497.25
TX100078,2024-01-05 00:00:00,3180,1871,26296,4,1255.87,0,Cash,In-store,5023.48
TX100079,2024-07-13 00:00:00,3023,1742,20057,3,682.56,0,Card,In-store,2047.6799999999998
TX100080,2024-09-08 00:00:00,3198,1439,29792,1,1188.18,0,Card,In-store,1188.18
TX100081,2023-12-02 00:00:00,3167,1207,27950,3,902.7,0,Card,Online,2708.1000000000004
TX100082,2022-11-13 00:00:00,3005,1060,25772,5,792.75,0,Card,In-store,3963.75
TX100083,2023-11-15 00:00:00,3095,1490,29120,2,509.22,0,Card,In-store,1018.44
TX100084,2020-10-22 00:00:00,3080,1252,25062,2,1465.79,50,Cash,Online,2881.58
TX100085,2021-03-31 00:00:00,3076,1194,20871,5,391.99,10,Card,In-store,1949.95
TX100086,2025-07-25 00:00:00,3158,1004,22793,2,292.68,0,Online,In-store,585.36
TX100087,2025-07-13 00:00:00,3153,1532,20298,3,504.5,10,Online,Online,1503.5
TX100088,2024-05-05 00:00:00,3067,1870,28381,1,934.71,0,Card,In-store,934.71
TX100089,2021-12-17 00:00:00,3081,1947,22072,3,377.97,50,Online,In-store,1083.91
TX100090,2023-11-22 00:00:00,3181,1722,27520,3,785.58,0,Online,In-store,2356.7400000000002
TX100091,2024-02-15 00:00:00,3068,1234,20687,5,246.62,0,Cash,In-store,1233.1
TX100092,2023-02-02 00:00:00,3070,1198,27201,3,1279.99,10,Card,Online,3829.9700000000003
TX100093,2024-06-28 00:00:00,3050,1567,20743,3,1248.45,0,Online,In-store,3745.3500000000004
TX100094,2020-03-06 00:00:00,3112,1558,29609,3,1255.99,0,Cash,In-store,3767.9700000000003
TX100095,2021-07-15 00:00:00,3015,1047,24072,4,647.81,0,Card,In-store,2591.24
TX100096,2024-10-06 00:00:00,3160,1598,23278,1,864.16,0,Card,Online,864.16
TX100097,2025-08-18 00:00:00,3184,1076,21683,1,978.8,50,Card,In-store,928.8
TX100098,2025-04-03 00:00:00,3184,1326,28028,4,1021.33,0,Cash,Online,4085.32
TX100099,2024-04-18 00:00:00,3124,1910,26366,2,333.81,0,Card,Online,667.62
TX100100,2020-12-28 00:00:00,3194,1210,25116,3,70.86,50,Online,In-store,162.57999999999998
TX100101,2022-03-18 00:00:00,3112,1983,20689,1,959.04,0,Cash,Online,959.04
TX100102,2020-04-20 00:00:00,3195,1468,22144,1,1276.3,0,Card,In-store,1276.3
TX100103,2023-11-02 00:00:00,3153,1467,27072,4,674.63,0,Cash,Online,2698.52
TX100104,2022-09-12 00:00:00,3155,1389,21914,5,952.14,0,Card,In-store,4760.7
TX100105,2023-06-09 00:00:00,3087,1800,28465,3,753.63,0,Cash,Online,2260.89
TX100106,2025-11-15 00:00:00,3009,1378,21993,3,1267.62,10,Card,In-store,3792.8599999999997
